"importo","riduzione","cap","nabb0512","nvisit13","nvisite0512","eta13","churn"
28,"ABBONAMENTO MUSEI RIDOTTO","10144",4,5,9,69,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10128",1,7,8,55,"0"
44,"ABBONAMENTI MUSEI TORINO","10155",1,4,9,62,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10135",7,4,102,71,"0"
44,"ABBONAMENTI MUSEI TORINO","10073",5,5,10,57,"0"
44,"ABBONAMENTI MUSEI TORINO","10143",7,14,61,49,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","14053",0,2,0,20,"0"
44,"ABBONAMENTI MUSEI TORINO","10129",7,56,256,52,"0"
44,"OFFERTA SU QUANTITATIVO 44€","10139",4,5,29,48,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10124",7,7,83,76,"0"
44,"ABBONAMENTI MUSEI TORINO","10149",8,0,60,53,"0"
49,"ABBONAMENTI MUSEI TORINO","13856",0,25,0,31,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10137",0,4,0,71,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10040",2,12,11,65,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10124",1,6,5,77,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10154",1,0,0,20,"0"
44,"ABBONAMENTI MUSEI TORINO","10044",1,14,2,58,"0"
44,"ABBONAMENTI MUSEI TORINO","10154",2,3,3,50,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10051",1,5,0,30,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10143",1,1,8,72,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10143",0,6,0,74,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","20052",2,0,1,81,"1"
44,"ABBONAMENTI MUSEI TORINO","10132",1,4,3,41,"1"
44,"ABBONAMENTI MUSEI TORINO","13814",5,16,73,50,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10156",7,4,41,70,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10127",2,4,7,24,"0"
49,"ABBONAMENTI MUSEI TORINO","10136",2,14,24,40,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10040",2,3,12,32,"0"
44,"ABBONAMENTI MUSEI TORINO","10024",6,18,133,33,"0"
44,"ABBONAMENTI MUSEI TORINO","10010",1,5,25,36,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10090",7,12,84,75,"0"
28,"OFFERTA CONVENZIONE 28€","10040",1,4,5,16,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10038",2,1,6,60,"0"
28,"OFFERTA CONVENZIONE 28€","10137",0,5,0,54,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10024",0,1,0,70,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10129",4,18,46,68,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10090",4,1,21,41,"0"
44,"ABBONAMENTI MUSEI TORINO","10143",0,17,0,56,"0"
44,"ABBONAMENTI MUSEI TORINO","10139",8,0,18,54,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10045",3,2,21,73,"0"
44,"ABBONAMENTI MUSEI TORINO","10035",2,3,5,62,"1"
44,"ABBONAMENTI MUSEI TORINO","10014",1,7,16,59,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10012",0,5,0,67,"0"
44,"ABBONAMENTI MUSEI TORINO","10022",0,5,0,48,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10036",0,8,0,23,"1"
44,"ABBONAMENTI MUSEI TORINO","10093",0,22,0,48,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10046",1,2,13,48,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10014",7,21,97,61,"0"
44,"ABBONAMENTI MUSEI TORINO","10154",7,8,55,62,"0"
44,"ABBONAMENTI MUSEI TORINO","10100",6,24,51,53,"0"
44,"ABBONAMENTI MUSEI TORINO","10040",1,14,4,49,"0"
44,"ABBONAMENTI MUSEI TORINO","10126",3,11,15,42,"1"
44,"ABBONAMENTI MUSEI TORINO","10146",2,0,12,54,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10146",1,0,4,15,"0"
44,"ABBONAMENTI MUSEI TORINO","12046",0,6,0,38,"0"
44,"ABBONAMENTI MUSEI TORINO","10014",5,3,21,39,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10040",0,6,0,75,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10144",2,8,29,26,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10093",2,14,29,63,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10153",4,6,28,85,"0"
44,"ABBONAMENTI MUSEI TORINO","10153",4,13,68,60,"0"
44,"ABBONAMENTI MUSEI TORINO","10153",4,28,44,56,"0"
44,"ABBONAMENTI MUSEI TORINO","10137",5,6,35,61,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10014",3,4,27,75,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10015",2,4,6,70,"0"
44,"ABBONAMENTI MUSEI TORINO","10090",1,3,7,63,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10126",4,5,23,68,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10156",0,4,0,65,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10143",5,42,197,71,"0"
44,"ABBONAMENTI MUSEI TORINO","10143",4,18,68,48,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10131",5,5,72,44,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10126",2,1,27,73,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10144",4,10,44,38,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10126",4,11,45,74,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10123",0,4,0,46,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10074",2,18,47,24,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10098",3,10,12,72,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10080",4,8,28,24,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10128",5,5,32,70,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","15026",8,2,141,67,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10078",3,4,35,66,"1"
49,"ABBONAMENTI MUSEI TORINO","10134",7,12,68,56,"0"
44,"ABBONAMENTI MUSEI TORINO","10144",8,4,105,40,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10141",0,3,0,70,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10040",0,4,0,74,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10141",8,10,34,66,"0"
49,"ABBONAMENTI MUSEI TORINO","24020",0,19,0,55,"1"
49,"ABBONAMENTI MUSEI TORINO","10022",0,4,0,48,"0"
44,"ABBONAMENTI MUSEI TORINO","10036",1,4,7,40,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10100",0,5,0,75,"0"
28,"OFFERTA CONVENZIONE 28€","10068",2,3,5,18,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10059",1,0,1,73,"0"
49,"ABBONAMENTI MUSEI TORINO","10141",0,14,0,51,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10094",4,12,54,68,"0"
49,"ABBONAMENTI MUSEI TORINO","10123",4,6,14,34,"1"
44,"ABBONAMENTI MUSEI TORINO","10078",2,3,18,29,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10145",5,6,37,81,"0"
49,"ABBONAMENTI MUSEI TORINO","10134",3,3,9,58,"0"
44,"ABBONAMENTI MUSEI TORINO","10153",1,2,3,50,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10098",0,7,0,54,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10023",0,2,0,44,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10143",0,2,0,26,"1"
44,"ABBONAMENTI MUSEI TORINO","12100",3,6,23,58,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","10142",2,3,12,17,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10134",1,3,3,21,"1"
44,"ABBONAMENTI MUSEI TORINO","10036",4,10,28,59,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10078",1,1,3,43,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10098",0,6,0,25,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10126",7,4,42,77,"1"
44,"ABBONAMENTI MUSEI TORINO","10024",0,4,0,41,"1"
44,"ABBONAMENTI MUSEI TORINO","10136",0,11,0,36,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","10145",1,3,3,25,"1"
28,"OFFERTA CONVENZIONE 28€","10040",2,3,7,19,"0"
44,"ABBONAMENTI MUSEI TORINO","10095",3,11,41,58,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10062",3,2,1,57,"1"
30,"PASS 60 e VOUCHER OFFERTA 30€","10154",4,12,46,61,"1"
49,"ABBONAMENTI MUSEI TORINO","10126",2,4,10,39,"1"
